last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Sheets, Gavin,657757,White Sox,,RF,-4,-4,0,-5,-1,1,-1,-4,86%,88%,-2%
Siri, Jose,642350,---,,CF,14,15,1,5,8,1,13,2,94%,88%,6%
Slater, Austin,596103,Giants,,CF,2,2,1,1,1,-2,2,0,90%,89%,1%
Smith, Josh H.,669701,Rangers,,3B,1,1,2,-2,0,1,-1,2,77%,77%,0%
Smith, Kevin,675656,Athletics,,3B,2,3,3,0,0,0,1,2,75%,73%,2%
Sosa, Edmundo,624641,---,,SS,8,10,0,5,3,2,8,2,81%,76%,5%
Soto, Juan,665742,---,,RF,-14,-16,-2,-2,-9,-3,-6,-10,85%,89%,-4%
Springer, George,543807,Blue Jays,,CF,2,2,0,1,0,1,3,-2,91%,91%,0%
Story, Trevor,596115,Red Sox,,SS,8,10,1,2,6,0,9,1,81%,78%,3%
Stott, Bryson,681082,Phillies,,SS,1,2,1,4,-3,0,1,0,75%,74%,1%
Straw, Myles,664702,Guardians,,CF,12,13,2,5,6,0,7,6,91%,88%,3%
Suwinski, Jack,669261,Pirates,,LF,1,1,1,-1,3,-1,1,0,87%,86%,1%
Suzuki, Seiya,673548,Cubs,,RF,-3,-4,-1,-2,0,0,-2,-2,88%,89%,-1%
Suárez, Eugenio,553993,Mariners,,3B,0,0,0,0,-2,1,2,-2,72%,72%,0%
Swanson, Dansby,621020,Braves,,SS,16,21,11,12,-2,0,20,1,78%,75%,3%
Sánchez, Jesús,660821,Marlins,,CF,-2,-2,0,1,-3,-1,-2,0,89%,90%,-1%
Tapia, Raimel,606132,Blue Jays,,LF,-4,-5,1,-1,-4,0,-2,-3,88%,90%,-2%
Taveras, Leody,665750,Rangers,,CF,4,4,-1,3,2,1,0,5,89%,87%,2%
Taylor, Chris,621035,Dodgers,,SS,2,3,1,1,1,0,1,2,85%,84%,1%
Taylor, Michael A.,572191,Royals,,CF,5,5,-3,3,4,1,3,3,89%,88%,1%
Taylor, Tyrone,621438,Brewers,,CF,6,7,0,3,3,0,3,4,90%,88%,2%
Tellez, Rowdy,642133,Brewers,,1B,-3,-4,-2,-1,-1,-1,-5,1,68%,70%,-2%
Thomas, Alek,677950,D-backs,,CF,6,7,1,2,3,1,4,3,91%,89%,2%
Thomas, Lane,657041,Nationals,,CF,-3,-3,2,-3,0,-2,-2,-1,89%,90%,-1%
Thompson, Trayce,572204,---,,RF,2,3,1,1,1,0,3,-1,88%,86%,2%
Torkelson, Spencer,679529,Tigers,,1B,-1,-1,1,-4,1,1,-1,0,75%,75%,0%
Toro, Abraham,647351,Mariners,,2B,0,0,1,2,-3,0,1,0,76%,76%,0%
Torres, Gleyber,650402,Yankees,,2B,0,-1,-1,3,-1,-1,1,-1,79%,79%,0%
Trout, Mike,545361,Angels,,CF,3,3,0,2,2,0,3,0,90%,89%,1%
Tucker, Kyle,663656,Astros,,RF,5,5,1,-1,4,2,5,1,91%,89%,2%
Turner, Justin,457759,Dodgers,,3B,-2,-2,-2,-1,3,-2,-1,-1,74%,75%,-1%
Turner, Trea,607208,Dodgers,,SS,0,0,0,-1,0,1,1,-1,76%,76%,0%
Urshela, Gio,570482,Twins,,3B,-4,-5,-4,-2,2,0,-4,-2,69%,70%,-1%
Urías, Luis,649966,Brewers,,3B,-1,-2,-4,0,0,2,-4,2,74%,75%,-1%
Urías, Ramón,602104,Orioles,,3B,4,6,2,-1,5,0,3,3,76%,75%,1%
VanMeter, Josh,642165,Pirates,,2B,-1,-1,-1,2,-1,0,1,-1,72%,73%,-1%
Vargas, Ildemaro,545121,---,,3B,5,7,0,4,1,1,7,0,76%,73%,3%
Varsho, Daulton,662139,D-backs,,CF,16,18,5,4,4,5,14,4,92%,85%,7%
Vaughn, Andrew,683734,White Sox,,LF,-17,-20,-5,-7,-5,-3,-7,-13,74%,83%,-9%
Velazquez, Andrew,623205,Angels,,SS,2,3,-2,3,0,2,-1,3,79%,79%,0%
Verdugo, Alex,657077,Red Sox,,LF,-4,-4,2,-4,-4,2,-1,-3,83%,84%,-1%
Vierling, Matt,663837,Phillies,,CF,0,0,0,-1,1,0,-1,1,85%,85%,0%
Villar, Jonathan,542340,---,,2B,-11,-15,-3,-4,-8,0,-14,-2,64%,73%,-9%
Votto, Joey,458015,Reds,,1B,-7,-9,-1,-6,-1,-2,-4,-5,70%,75%,-5%
